year,oshpd_id,county,hospital,performance_measure,hospital_rating,#_of_cases,#_of_adverse_events,risk_adjusted_rate
2016,106301188,orange,anaheim global medical center,cabg operative mortality,average,29.0,1.0,2.35
2016,106301188,orange,anaheim global medical center,post-operative stroke,average,72.0,0.0,0.0
2017,106301188,orange,anaheim global medical center,cabg + valve operative mortality,average,18.0,0.0,0.0
2017,106301188,orange,anaheim global medical center,cabg 30-day readmission,average,72.0,11.0,12.84
2017,106301188,orange,anaheim global medical center,cabg operative mortality,average,43.0,0.0,0.0
2017,106301188,orange,anaheim global medical center,post-operative stroke,average,86.0,0.0,0.0
2018,106301188,orange,anaheim global medical center,cabg operative mortality,average,43.0,2.0,3.78
2018,106301188,orange,anaheim global medical center,cabg+valve operative mortality,average,80.0,1.0,3.97
2018,106301188,orange,anaheim global medical center,isolated cabg 30-day readmission,average,80.0,6.0,11.17
2018,106301188,orange,anaheim global medical center,isolated cabg post-operative stroke,average,80.0,0.0,0.0
2019,106301188,orange,anaheim global medical center,cabg+valve operative mortality,average,60.0,2.0,9.64
2019,106301188,orange,anaheim global medical center,isolated cabg 30-day readmission,average,60.0,7.0,17.05
2019,106301188,orange,anaheim global medical center,isolated cabg operative mortality,average,28.0,0.0,0.0
2019,106301188,orange,anaheim global medical center,isolated cabg post-operative stroke,average,60.0,1.0,1.99
2020,106301188,orange,anaheim global medical center,isolated cabg operative mortality,average,32.0,1.0,3.61
2021,106301188,orange,anaheim global medical center,cabg+valve operative mortality,average,8.0,0.0,0.0
2021,106301188,orange,anaheim global medical center,isolated cabg 30-day readmission,average,8.0,2.0,19.32
2021,106301188,orange,anaheim global medical center,isolated cabg post-operative stroke,average,8.0,0.0,0.0
2021,106301175,orange,fountain valley regional hospital & medical center â euclid,cabg+valve operative mortality,average,194.0,1.0,9.62
2021,106301175,orange,fountain valley regional hospital & medical center â euclid,isolated cabg 30-day readmission,average,194.0,13.0,10.64
2021,106301175,orange,fountain valley regional hospital & medical center â euclid,isolated cabg post-operative stroke,average,194.0,0.0,0.0
2022,106301175,orange,fountain valley regional hospital & medical center â euclid,isolated cabg operative mortality,average,89.0,3.0,3.23
2011,106301175,orange,fountain valley regional hospital and medical center - euclid,post-operative stroke,average,212.0,6.0,1.98
2012,106301175,orange,fountain valley regional hospital and medical center - euclid,30-day readmission,average,89.0,8.0,7.26
2012,106301175,orange,fountain valley regional hospital and medical center - euclid,operative mortality,average,96.0,1.0,1.04
2013,106301175,orange,fountain valley regional hospital and medical center - euclid,30-day readmission,average,89.0,9.0,8.84
2013,106301175,orange,fountain valley regional hospital and medical center - euclid,cabg + valve operative mortality,average,17.0,1.0,4.87
2013,106301175,orange,fountain valley regional hospital and medical center - euclid,cabg operative mortality,average,92.0,2.0,1.77
2013,106301175,orange,fountain valley regional hospital and medical center - euclid,post-operative stroke,average,193.0,6.0,2.17
2014,106301175,orange,fountain valley regional hospital and medical center - euclid,30-day readmission,average,195.0,22.0,10.28
2014,106301175,orange,fountain valley regional hospital and medical center - euclid,cabg + valve operative mortality,worse,11.0,3.0,35.92
2014,106301175,orange,fountain valley regional hospital and medical center - euclid,cabg operative mortality,average,118.0,5.0,3.49
2014,106301175,orange,fountain valley regional hospital and medical center - euclid,post-operative stroke,average,233.0,4.0,1.42
2015,106301175,orange,fountain valley regional hospital and medical center - euclid,cabg + valve operative mortality,average,11.0,1.0,11.76
2015,106301175,orange,fountain valley regional hospital and medical center - euclid,cabg 30-day readmission,average,171.0,21.0,10.69
2015,106301175,orange,fountain valley regional hospital and medical center - euclid,cabg operative mortality,average,115.0,1.0,0.78
2015,106301175,orange,fountain valley regional hospital and medical center - euclid,post-operative stroke,average,215.0,1.0,0.43
2016,106301175,orange,fountain valley regional hospital and medical center - euclid,cabg + valve operative mortality,average,9.0,0.0,0.0
2016,106301175,orange,fountain valley regional hospital and medical center - euclid,cabg operative mortality,average,100.0,2.0,1.84
2016,106301175,orange,fountain valley regional hospital and medical center - euclid,post-operative stroke,average,202.0,2.0,0.9
2017,106301175,orange,fountain valley regional hospital and medical center - euclid,cabg + valve operative mortality,average,6.0,0.0,0.0
2017,106301175,orange,fountain valley regional hospital and medical center - euclid,cabg 30-day readmission,average,119.0,19.0,15.32
2017,106301175,orange,fountain valley regional hospital and medical center - euclid,cabg operative mortality,average,102.0,4.0,3.24
2017,106301175,orange,fountain valley regional hospital and medical center - euclid,post-operative stroke,average,175.0,5.0,2.37
2018,106301175,orange,fountain valley regional hospital and medical center - euclid,cabg operative mortality,average,73.0,5.0,6.79
2018,106301175,orange,fountain valley regional hospital and medical center - euclid,cabg+valve operative mortality,average,185.0,0.0,0.0
2018,106301175,orange,fountain valley regional hospital and medical center - euclid,isolated cabg 30-day readmission,worse,185.0,24.0,20.03
2018,106301175,orange,fountain valley regional hospital and medical center - euclid,isolated cabg post-operative stroke,average,185.0,4.0,2.23
2019,106301175,orange,fountain valley regional hospital and medical center - euclid,cabg+valve operative mortality,average,174.0,0.0,0.0
2019,106301175,orange,fountain valley regional hospital and medical center - euclid,isolated cabg 30-day readmission,average,174.0,18.0,17.4
2019,106301175,orange,fountain valley regional hospital and medical center - euclid,isolated cabg operative mortality,average,100.0,1.0,1.18
2019,106301175,orange,fountain valley regional hospital and medical center - euclid,isolated cabg post-operative stroke,average,174.0,1.0,0.57
2020,106301175,orange,fountain valley regional hospital and medical center - euclid,isolated cabg operative mortality,average,74.0,4.0,7.63
2013,106301175,orange,fountain valley regional hospital and medical center  euclid,cabg + valve operative mortality,average,14.0,3.0,25.05
2013,106301175,orange,fountain valley regional hospital and medical center  euclid,post-operative stroke,average,215.0,7.0,3.0
2011,106301205,orange,hoag memorial hospital presbyterian,post-operative stroke,average,242.0,2.0,0.86
2012,106301205,orange,hoag memorial hospital presbyterian,30-day readmission,average,107.0,14.0,13.64
2012,106301205,orange,hoag memorial hospital presbyterian,operative mortality,average,114.0,2.0,0.96
2013,106301205,orange,hoag memorial hospital presbyterian,30-day readmission,average,146.0,14.0,9.76
2013,106301205,orange,hoag memorial hospital presbyterian,cabg + valve operative mortality,average,103.0,6.0,6.66
2013,106301205,orange,hoag memorial hospital presbyterian,cabg operative mortality,average,152.0,3.0,1.76
2013,106301205,orange,hoag memorial hospital presbyterian,post-operative stroke,average,287.0,0.0,0.0
2014,106301205,orange,hoag memorial hospital presbyterian,30-day readmission,average,244.0,15.0,7.56
2014,106301205,orange,hoag memorial hospital presbyterian,cabg + valve operative mortality,average,90.0,5.0,5.8
2014,106301205,orange,hoag memorial hospital presbyterian,cabg operative mortality,average,135.0,0.0,0.0
2014,106301205,orange,hoag memorial hospital presbyterian,post-operative stroke,average,266.0,1.0,0.4
2015,106301205,orange,hoag memorial hospital presbyterian,cabg + valve operative mortality,average,65.0,1.0,1.85
2015,106301205,orange,hoag memorial hospital presbyterian,cabg 30-day readmission,average,250.0,15.0,7.87
2015,106301205,orange,hoag memorial hospital presbyterian,cabg operative mortality,average,131.0,3.0,1.98
2015,106301205,orange,hoag memorial hospital presbyterian,post-operative stroke,average,277.0,3.0,1.24
2016,106301205,orange,hoag memorial hospital presbyterian,cabg + valve operative mortality,average,65.0,3.0,6.01
2016,106301205,orange,hoag memorial hospital presbyterian,cabg operative mortality,average,146.0,3.0,2.79
2016,106301205,orange,hoag memorial hospital presbyterian,post-operative stroke,average,298.0,2.0,0.74
2017,106301205,orange,hoag memorial hospital presbyterian,cabg + valve operative mortality,average,87.0,6.0,8.11
2017,106301205,orange,hoag memorial hospital presbyterian,cabg 30-day readmission,average,279.0,27.0,11.78
2017,106301205,orange,hoag memorial hospital presbyterian,cabg operative mortality,average,152.0,2.0,1.42
2017,106301205,orange,hoag memorial hospital presbyterian,post-operative stroke,average,309.0,1.0,0.36
2018,106301205,orange,hoag memorial hospital presbyterian,cabg operative mortality,average,157.0,4.0,2.42
2018,106301205,orange,hoag memorial hospital presbyterian,cabg+valve operative mortality,average,532.0,5.0,5.81
2018,106301205,orange,hoag memorial hospital presbyterian,isolated cabg 30-day readmission,average,532.0,28.0,9.97
2018,106301205,orange,hoag memorial hospital presbyterian,isolated cabg post-operative stroke,average,532.0,5.0,1.58
2019,106301205,orange,hoag memorial hospital presbyterian,cabg+valve operative mortality,average,489.0,5.0,6.99
2019,106301205,orange,hoag memorial hospital presbyterian,isolated cabg 30-day readmission,average,489.0,27.0,9.72
2019,106301205,orange,hoag memorial hospital presbyterian,isolated cabg operative mortality,average,286.0,0.0,0.0
2019,106301205,orange,hoag memorial hospital presbyterian,isolated cabg post-operative stroke,average,489.0,4.0,1.27
2020,106301205,orange,hoag memorial hospital presbyterian,isolated cabg operative mortality,average,203.0,2.0,1.51
2021,106301205,orange,hoag memorial hospital presbyterian,cabg+valve operative mortality,average,529.0,3.0,5.23
2021,106301205,orange,hoag memorial hospital presbyterian,isolated cabg 30-day readmission,better,529.0,23.0,7.24
2021,106301205,orange,hoag memorial hospital presbyterian,isolated cabg post-operative stroke,better,529.0,0.0,0.0
2022,106301205,orange,hoag memorial hospital presbyterian,isolated cabg operative mortality,average,277.0,2.0,0.97
2017,106300225,orange,memorialcare orange coast medical center,cabg + valve operative mortality,average,23.0,2.0,8.6
2017,106300225,orange,memorialcare orange coast medical center,cabg 30-day readmission,average,159.0,12.0,7.16
2017,106300225,orange,memorialcare orange coast medical center,post-operative stroke,average,171.0,6.0,3.21
2018,106300225,orange,memorialcare orange coast medical center,cabg operative mortality,average,77.0,0.0,0.0
2018,106300225,orange,memorialcare orange coast medical center,cabg+valve operative mortality,average,210.0,1.0,5.04
2018,106300225,orange,memorialcare orange coast medical center,isolated cabg 30-day readmission,better,210.0,9.0,5.94
2018,106300225,orange,memorialcare orange coast medical center,isolated cabg post-operative stroke,worse,210.0,7.0,4.82
2019,106300225,orange,memorialcare orange coast medical center,cabg+valve operative mortality,average,201.0,2.0,8.18
2019,106300225,orange,memorialcare orange coast medical center,isolated cabg 30-day readmission,average,201.0,11.0,7.97
2019,106300225,orange,memorialcare orange coast medical center,isolated cabg operative mortality,average,114.0,0.0,0.0
2019,106300225,orange,memorialcare orange coast medical center,isolated cabg post-operative stroke,average,201.0,6.0,3.75
2020,106300225,orange,memorialcare orange coast medical center,isolated cabg operative mortality,average,87.0,2.0,2.44
2021,106300225,orange,memorialcare orange coast medical center,cabg+valve operative mortality,average,252.0,3.0,8.85
2021,106300225,orange,memorialcare orange coast medical center,isolated cabg 30-day readmission,average,252.0,15.0,9.09
2021,106300225,orange,memorialcare orange coast medical center,isolated cabg post-operative stroke,average,252.0,0.0,0.0
2022,106300225,orange,memorialcare orange coast medical center,isolated cabg operative mortality,average,127.0,0.0,0.0
2017,106301317,orange,memorialcare saddleback medical center,cabg + valve operative mortality,average,8.0,0.0,0.0
2017,106301317,orange,memorialcare saddleback medical center,cabg 30-day readmission,average,88.0,7.0,8.97
2017,106301317,orange,memorialcare saddleback medical center,post-operative stroke,average,100.0,0.0,0.0
2018,106301317,orange,memorialcare saddleback medical center,cabg operative mortality,average,45.0,4.0,6.25
2018,106301317,orange,memorialcare saddleback medical center,cabg+valve operative mortality,average,102.0,0.0,0.0
2018,106301317,orange,memorialcare saddleback medical center,isolated cabg 30-day readmission,average,102.0,8.0,10.77
2018,106301317,orange,memorialcare saddleback medical center,isolated cabg post-operative stroke,average,102.0,1.0,1.06
2019,106301317,orange,memorialcare saddleback medical center,cabg+valve operative mortality,average,119.0,0.0,0.0
2019,106301317,orange,memorialcare saddleback medical center,isolated cabg 30-day readmission,average,119.0,11.0,12.62
2019,106301317,orange,memorialcare saddleback medical center,isolated cabg operative mortality,average,53.0,2.0,3.91
2019,106301317,orange,memorialcare saddleback medical center,isolated cabg post-operative stroke,average,119.0,1.0,1.1
2020,106301317,orange,memorialcare saddleback medical center,isolated cabg operative mortality,average,66.0,1.0,2.02
2021,106301317,orange,memorialcare saddleback medical center,cabg+valve operative mortality,average,122.0,0.0,0.0
2021,106301317,orange,memorialcare saddleback medical center,isolated cabg 30-day readmission,average,122.0,12.0,13.77
2021,106301317,orange,memorialcare saddleback medical center,isolated cabg post-operative stroke,average,122.0,2.0,2.56
2022,106301317,orange,memorialcare saddleback medical center,isolated cabg operative mortality,average,59.0,1.0,1.74
2011,106301262,orange,mission hospital regional medical center,post-operative stroke,average,237.0,1.0,0.55
2012,106301262,orange,mission hospital regional medical center,30-day readmission,average,105.0,9.0,9.31
2012,106301262,orange,mission hospital regional medical center,operative mortality,average,116.0,2.0,1.35
2013,106301262,orange,mission hospital regional medical center,30-day readmission,average,98.0,12.0,13.01
2013,106301262,orange,mission hospital regional medical center,cabg + valve operative mortality,average,44.0,5.0,9.37
2013,106301262,orange,mission hospital regional medical center,cabg operative mortality,average,108.0,1.0,0.87
2013,106301262,orange,mission hospital regional medical center,post-operative stroke,average,221.0,4.0,1.75
2014,106301262,orange,mission hospital regional medical center,30-day readmission,average,184.0,19.0,11.26
2014,106301262,orange,mission hospital regional medical center,cabg + valve operative mortality,average,37.0,3.0,9.0
2014,106301262,orange,mission hospital regional medical center,cabg operative mortality,average,113.0,2.0,1.42
2014,106301262,orange,mission hospital regional medical center,post-operative stroke,average,210.0,5.0,2.75
2015,106301262,orange,mission hospital regional medical center,cabg + valve operative mortality,average,27.0,1.0,3.59
2015,106301262,orange,mission hospital regional medical center,cabg 30-day readmission,average,176.0,11.0,7.78
2015,106301262,orange,mission hospital regional medical center,cabg operative mortality,average,97.0,1.0,1.4
2015,106301262,orange,mission hospital regional medical center,post-operative stroke,average,200.0,2.0,1.11
2016,106301262,orange,mission hospital regional medical center,cabg + valve operative mortality,average,26.0,0.0,0.0
2016,106301262,orange,mission hospital regional medical center,cabg operative mortality,average,103.0,2.0,2.13
2016,106301262,orange,mission hospital regional medical center,post-operative stroke,average,243.0,0.0,0.0
2017,106301262,orange,mission hospital regional medical center,cabg + valve operative mortality,average,29.0,1.0,3.27
2017,106301262,orange,mission hospital regional medical center,cabg 30-day readmission,average,227.0,15.0,7.78
2017,106301262,orange,mission hospital regional medical center,cabg operative mortality,average,140.0,2.0,2.25
2017,106301262,orange,mission hospital regional medical center,post-operative stroke,average,264.0,0.0,0.0
2018,106301262,orange,mission hospital regional medical center,cabg operative mortality,average,124.0,2.0,2.47
2018,106301262,orange,mission hospital regional medical center,cabg+valve operative mortality,average,270.0,1.0,3.73
2018,106301262,orange,mission hospital regional medical center,isolated cabg 30-day readmission,better,270.0,11.0,6.5
2018,106301262,orange,mission hospital regional medical center,isolated cabg post-operative stroke,average,270.0,0.0,0.0
2019,106301262,orange,mission hospital regional medical center,isolated cabg operative mortality,average,116.0,1.0,1.25
2011,106300225,orange,orange coast memorial medical center,post-operative stroke,average,99.0,3.0,3.31
2012,106300225,orange,orange coast memorial medical center,30-day readmission,average,51.0,6.0,14.54
2012,106300225,orange,orange coast memorial medical center,operative mortality,average,56.0,1.0,2.54
2013,106300225,orange,orange coast memorial medical center,30-day readmission,worse,72.0,13.0,22.24
2013,106300225,orange,orange coast memorial medical center,cabg + valve operative mortality,average,18.0,1.0,7.84
2013,106300225,orange,orange coast memorial medical center,cabg operative mortality,average,74.0,0.0,0.0
2013,106300225,orange,orange coast memorial medical center,post-operative stroke,average,133.0,0.0,0.0
2014,106300225,orange,orange coast memorial medical center,30-day readmission,average,123.0,14.0,12.63
2014,106300225,orange,orange coast memorial medical center,cabg + valve operative mortality,average,19.0,1.0,6.73
2014,106300225,orange,orange coast memorial medical center,cabg operative mortality,average,59.0,0.0,0.0
2014,106300225,orange,orange coast memorial medical center,post-operative stroke,average,134.0,2.0,1.71
2015,106300225,orange,orange coast memorial medical center,cabg + valve operative mortality,average,20.0,0.0,0.0
2015,106300225,orange,orange coast memorial medical center,cabg 30-day readmission,average,133.0,18.0,14.4
2015,106300225,orange,orange coast memorial medical center,cabg operative mortality,average,75.0,3.0,4.95
2015,106300225,orange,orange coast memorial medical center,post-operative stroke,average,141.0,2.0,1.55
2016,106300225,orange,orange coast memorial medical center,cabg + valve operative mortality,average,18.0,1.0,9.0
2016,106300225,orange,orange coast memorial medical center,cabg operative mortality,average,67.0,1.0,1.51
2016,106300225,orange,orange coast memorial medical center,post-operative stroke,average,161.0,3.0,1.85
2017,106300225,orange,orange coast memorial medical center,cabg operative mortality,average,94.0,4.0,3.14
2015,106301566,orange,orange county global medical center,cabg + valve operative mortality,average,8.0,0.0,0.0
2015,106301566,orange,orange county global medical center,cabg 30-day readmission,average,75.0,8.0,10.02
2015,106301566,orange,orange county global medical center,post-operative stroke,average,100.0,2.0,1.65
2016,106301566,orange,orange county global medical center,cabg + valve operative mortality,average,7.0,0.0,0.0
2016,106301566,orange,orange county global medical center,cabg operative mortality,average,49.0,2.0,2.44
2016,106301566,orange,orange county global medical center,post-operative stroke,average,93.0,1.0,0.86
2017,106301566,orange,orange county global medical center,cabg + valve operative mortality,average,12.0,1.0,6.93
2017,106301566,orange,orange county global medical center,cabg 30-day readmission,average,64.0,10.0,13.64
2017,106301566,orange,orange county global medical center,cabg operative mortality,average,44.0,1.0,1.93
2017,106301566,orange,orange county global medical center,post-operative stroke,average,82.0,0.0,0.0
2018,106301566,orange,orange county global medical center,cabg operative mortality,average,38.0,0.0,0.0
2018,106301566,orange,orange county global medical center,cabg+valve operative mortality,average,105.0,2.0,7.72
2018,106301566,orange,orange county global medical center,isolated cabg 30-day readmission,average,105.0,12.0,16.42
2018,106301566,orange,orange county global medical center,isolated cabg post-operative stroke,average,105.0,0.0,0.0
2019,106301566,orange,orange county global medical center,cabg+valve operative mortality,average,86.0,1.0,5.29
2019,106301566,orange,orange county global medical center,isolated cabg 30-day readmission,average,86.0,10.0,16.82
2019,106301566,orange,orange county global medical center,isolated cabg operative mortality,average,58.0,1.0,1.97
2019,106301566,orange,orange county global medical center,isolated cabg post-operative stroke,average,86.0,0.0,0.0
2020,106301566,orange,orange county global medical center,isolated cabg operative mortality,average,28.0,1.0,3.53
2021,106301566,orange,orange county global medical center,cabg+valve operative mortality,average,134.0,0.0,0.0
2021,106301566,orange,orange county global medical center,isolated cabg 30-day readmission,average,134.0,9.0,9.9
2021,106301566,orange,orange county global medical center,isolated cabg post-operative stroke,average,134.0,1.0,0.69
2022,106301566,orange,orange county global medical center,isolated cabg operative mortality,average,73.0,2.0,2.6
2019,106301262,orange,providence mission hospital,cabg+valve operative mortality,average,237.0,0.0,0.0
2019,106301262,orange,providence mission hospital,isolated cabg 30-day readmission,better,237.0,7.0,4.83
2019,106301262,orange,providence mission hospital,isolated cabg post-operative stroke,average,237.0,1.0,0.66
2020,106301262,orange,providence mission hospital,isolated cabg operative mortality,average,121.0,2.0,3.01
2021,106301262,orange,providence mission hospital,cabg+valve operative mortality,average,236.0,1.0,6.79
2021,106301262,orange,providence mission hospital,isolated cabg 30-day readmission,average,235.0,11.0,8.6
2021,106301262,orange,providence mission hospital,isolated cabg post-operative stroke,average,235.0,1.0,0.72
2022,106301262,orange,providence mission hospital,isolated cabg operative mortality,average,125.0,1.0,1.21
2019,10630134,orange,providence st. joseph hospital,cabg+valve operative mortality,average,275.0,0.0,0.0
2019,10630134,orange,providence st. joseph hospital,isolated cabg 30-day readmission,average,275.0,19.0,10.11
2019,10630134,orange,providence st. joseph hospital,isolated cabg post-operative stroke,average,275.0,4.0,1.98
2020,10630134,orange,providence st. joseph hospital,isolated cabg operative mortality,average,125.0,4.0,3.13
2021,10630134,orange,providence st. joseph hospital,cabg+valve operative mortality,average,242.0,1.0,6.36
2021,10630134,orange,providence st. joseph hospital,isolated cabg 30-day readmission,average,242.0,14.0,9.55
2021,10630134,orange,providence st. joseph hospital,isolated cabg post-operative stroke,average,242.0,3.0,1.85
2022,10630134,orange,providence st. joseph hospital,isolated cabg operative mortality,average,125.0,2.0,2.56
2019,106301342,orange,providence st. jude medical center,cabg+valve operative mortality,average,202.0,3.0,9.98
2019,106301342,orange,providence st. jude medical center,isolated cabg 30-day readmission,average,202.0,14.0,9.42
2019,106301342,orange,providence st. jude medical center,isolated cabg post-operative stroke,average,202.0,2.0,1.13
2020,106301342,orange,providence st. jude medical center,isolated cabg operative mortality,average,89.0,2.0,3.21
2021,106301342,orange,providence st. jude medical center,cabg+valve operative mortality,average,233.0,1.0,6.56
2021,106301342,orange,providence st. jude medical center,isolated cabg 30-day readmission,average,233.0,9.0,6.41
2021,106301342,orange,providence st. jude medical center,isolated cabg post-operative stroke,average,233.0,2.0,1.12
2022,106301342,orange,providence st. jude medical center,isolated cabg operative mortality,average,125.0,3.0,3.26
2011,106301317,orange,saddleback memorial medical center,post-operative stroke,average,160.0,3.0,2.39
2012,106301317,orange,saddleback memorial medical center,30-day readmission,average,66.0,8.0,12.96
2012,106301317,orange,saddleback memorial medical center,operative mortality,average,72.0,3.0,5.13
2013,106301317,orange,saddleback memorial medical center,30-day readmission,average,76.0,8.0,11.2
2013,106301317,orange,saddleback memorial medical center,cabg + valve operative mortality,average,27.0,2.0,6.27
2013,106301317,orange,saddleback memorial medical center,cabg operative mortality,average,82.0,0.0,0.0
2013,106301317,orange,saddleback memorial medical center,post-operative stroke,average,149.0,4.0,3.22
2014,106301317,orange,saddleback memorial medical center,30-day readmission,average,140.0,14.0,11.26
2014,106301317,orange,saddleback memorial medical center,cabg + valve operative mortality,average,22.0,1.0,4.0
2014,106301317,orange,saddleback memorial medical center,cabg operative mortality,average,67.0,0.0,0.0
2014,106301317,orange,saddleback memorial medical center,post-operative stroke,average,152.0,3.0,2.3
2015,106301317,orange,saddleback memorial medical center,cabg + valve operative mortality,average,25.0,0.0,0.0
2015,106301317,orange,saddleback memorial medical center,cabg 30-day readmission,average,125.0,11.0,9.66
2015,106301317,orange,saddleback memorial medical center,cabg operative mortality,average,85.0,4.0,4.15
2015,106301317,orange,saddleback memorial medical center,post-operative stroke,average,137.0,2.0,1.56
2016,106301317,orange,saddleback memorial medical center,cabg + valve operative mortality,average,20.0,0.0,0.0
2016,106301317,orange,saddleback memorial medical center,cabg operative mortality,average,52.0,3.0,7.3
2016,106301317,orange,saddleback memorial medical center,post-operative stroke,average,107.0,0.0,0.0
2017,106301317,orange,saddleback memorial medical center,cabg operative mortality,average,55.0,2.0,3.57
2011,10630134,orange,st. joseph hospital - orange,post-operative stroke,average,174.0,1.0,0.63
2012,10630134,orange,st. joseph hospital - orange,30-day readmission,average,67.0,4.0,6.11
2012,10630134,orange,st. joseph hospital - orange,operative mortality,average,74.0,0.0,0.0
2013,10630134,orange,st. joseph hospital - orange,30-day readmission,average,79.0,4.0,5.6
2013,10630134,orange,st. joseph hospital - orange,cabg + valve operative mortality,average,50.0,4.0,7.65
2013,10630134,orange,st. joseph hospital - orange,cabg operative mortality,average,86.0,3.0,3.94
2013,10630134,orange,st. joseph hospital - orange,post-operative stroke,average,160.0,4.0,2.77
2014,10630134,orange,st. joseph hospital - orange,30-day readmission,average,139.0,22.0,15.86
2014,10630134,orange,st. joseph hospital - orange,cabg + valve operative mortality,average,46.0,5.0,8.28
2014,10630134,orange,st. joseph hospital - orange,post-operative stroke,average,153.0,3.0,2.06
2015,10630134,orange,st. joseph hospital - orange,cabg + valve operative mortality,average,42.0,3.0,6.28
2015,10630134,orange,st. joseph hospital - orange,cabg 30-day readmission,average,161.0,20.0,13.28
2015,10630134,orange,st. joseph hospital - orange,cabg operative mortality,average,92.0,1.0,1.2
2015,10630134,orange,st. joseph hospital - orange,post-operative stroke,average,178.0,4.0,2.43
2016,10630134,orange,st. joseph hospital - orange,cabg + valve operative mortality,average,32.0,2.0,7.85
2016,10630134,orange,st. joseph hospital - orange,cabg operative mortality,average,86.0,2.0,2.27
2016,10630134,orange,st. joseph hospital - orange,post-operative stroke,average,199.0,2.0,0.93
2017,10630134,orange,st. joseph hospital - orange,cabg + valve operative mortality,average,30.0,1.0,3.88
2017,10630134,orange,st. joseph hospital - orange,cabg 30-day readmission,average,155.0,11.0,7.99
2017,10630134,orange,st. joseph hospital - orange,cabg operative mortality,average,113.0,4.0,3.05
2017,10630134,orange,st. joseph hospital - orange,post-operative stroke,average,211.0,3.0,1.38
2018,10630134,orange,st. joseph hospital - orange,cabg operative mortality,average,98.0,3.0,3.74
2018,10630134,orange,st. joseph hospital - orange,cabg+valve operative mortality,average,273.0,0.0,0.0
2018,10630134,orange,st. joseph hospital - orange,isolated cabg 30-day readmission,average,273.0,21.0,11.54
2018,10630134,orange,st. joseph hospital - orange,isolated cabg post-operative stroke,average,273.0,4.0,2.05
2019,10630134,orange,st. joseph hospital - orange,isolated cabg operative mortality,average,150.0,2.0,1.59
2013,10630134,orange,st. joseph hospital  orange,cabg + valve operative mortality,average,52.0,6.0,9.93
2013,10630134,orange,st. joseph hospital  orange,post-operative stroke,average,147.0,3.0,2.3
2014,10630134,orange,st. joseph hospital  orange,cabg operative mortality,average,61.0,3.0,4.31
2011,106301342,orange,st. jude medical center,post-operative stroke,average,172.0,3.0,1.93
2012,106301342,orange,st. jude medical center,30-day readmission,average,86.0,5.0,5.95
2012,106301342,orange,st. jude medical center,operative mortality,average,87.0,1.0,1.01
2013,106301342,orange,st. jude medical center,30-day readmission,average,69.0,7.0,9.52
2013,106301342,orange,st. jude medical center,cabg + valve operative mortality,average,28.0,0.0,0.0
2013,106301342,orange,st. jude medical center,cabg operative mortality,average,77.0,0.0,0.0
2013,106301342,orange,st. jude medical center,post-operative stroke,average,156.0,4.0,2.33
2014,106301342,orange,st. jude medical center,30-day readmission,average,148.0,9.0,6.15
2014,106301342,orange,st. jude medical center,cabg + valve operative mortality,average,29.0,0.0,0.0
2014,106301342,orange,st. jude medical center,cabg operative mortality,average,79.0,0.0,0.0
2014,106301342,orange,st. jude medical center,post-operative stroke,average,160.0,2.0,1.34
2015,106301342,orange,st. jude medical center,cabg + valve operative mortality,average,21.0,1.0,5.88
2015,106301342,orange,st. jude medical center,cabg 30-day readmission,better,153.0,7.0,4.68
2015,106301342,orange,st. jude medical center,cabg operative mortality,average,81.0,1.0,1.12
2015,106301342,orange,st. jude medical center,post-operative stroke,average,176.0,2.0,1.16
2016,106301342,orange,st. jude medical center,cabg + valve operative mortality,average,24.0,3.0,14.98
2016,106301342,orange,st. jude medical center,cabg operative mortality,average,95.0,0.0,0.0
2016,106301342,orange,st. jude medical center,post-operative stroke,average,179.0,3.0,1.66
2017,106301342,orange,st. jude medical center,cabg + valve operative mortality,average,25.0,2.0,8.47
2017,106301342,orange,st. jude medical center,cabg 30-day readmission,better,142.0,8.0,5.51
2017,106301342,orange,st. jude medical center,cabg operative mortality,average,84.0,3.0,3.45
2017,106301342,orange,st. jude medical center,post-operative stroke,average,154.0,2.0,1.36
2018,106301342,orange,st. jude medical center,cabg operative mortality,average,70.0,1.0,1.31
2018,106301342,orange,st. jude medical center,cabg+valve operative mortality,average,200.0,2.0,5.72
2018,106301342,orange,st. jude medical center,isolated cabg 30-day readmission,average,200.0,17.0,10.81
2018,106301342,orange,st. jude medical center,isolated cabg post-operative stroke,average,200.0,2.0,1.18
2019,106301342,orange,st. jude medical center,isolated cabg operative mortality,average,113.0,2.0,1.79
2011,106301279,orange,uc irvine medical center,post-operative stroke,average,108.0,1.0,0.8
2012,106301279,orange,uc irvine medical center,30-day readmission,average,43.0,7.0,14.05
2012,106301279,orange,uc irvine medical center,operative mortality,average,54.0,1.0,1.1
2013,106301279,orange,uc irvine medical center,30-day readmission,average,41.0,7.0,19.78
2013,106301279,orange,uc irvine medical center,cabg + valve operative mortality,average,11.0,0.0,0.0
2013,106301279,orange,uc irvine medical center,cabg operative mortality,average,46.0,1.0,2.48
2013,106301279,orange,uc irvine medical center,post-operative stroke,average,117.0,1.0,0.79
2014,106301279,orange,uc irvine medical center,30-day readmission,average,100.0,11.0,9.57
2014,106301279,orange,uc irvine medical center,cabg + valve operative mortality,average,12.0,3.0,21.71
