Year,County,OSHPDID,Surgery,# of Cases,LONGITUDE,LATITUDE,hospital
2020,San Bernardi,106361144,Breast,7,-117.687,34.02626,Chino Valley Medical Center
2020,San Bernardi,106361144,Colon,2,-117.687,34.02626,Chino Valley Medical Center
2020,San Bernardi,106361144,Prostate,1,-117.687,34.02626,Chino Valley Medical Center
2020,San Bernardi,106361144,Rectum,5,-117.687,34.02626,Chino Valley Medical Center
2016,San Bernardi,106361144,Stomach,1,-117.687,34.02626,Chino Valley Medical Center
2016,San Bernardi,106361144,Rectum,1,-117.687,34.02626,Chino Valley Medical Center
2016,San Bernardi,106361144,Prostate,1,-117.687,34.02626,Chino Valley Medical Center
2016,San Bernardi,106361144,Colon,8,-117.687,34.02626,Chino Valley Medical Center
2016,San Bernardi,106361144,Breast,21,-117.687,34.02626,Chino Valley Medical Center
2019,San Bernardi,106361144,Colon,6,-117.687,34.02626,Chino Valley Medical Center
2019,San Bernardi,106361144,Breast,12,-117.687,34.02626,Chino Valley Medical Center
2014,San Bernardi,106361144,Breast,4,-117.687,34.02626,Chino Valley Medical Center
2014,San Bernardi,106361144,Colon,7,-117.687,34.02626,Chino Valley Medical Center
2014,San Bernardi,106361144,Prostate,1,-117.687,34.02626,Chino Valley Medical Center
2018,San Bernardi,106361144,Stomach,1,-117.687,34.02626,Chino Valley Medical Center
2018,San Bernardi,106361144,Breast,23,-117.687,34.02626,Chino Valley Medical Center
2018,San Bernardi,106361144,Colon,3,-117.687,34.02626,Chino Valley Medical Center
2018,San Bernardi,106361144,Rectum,2,-117.687,34.02626,Chino Valley Medical Center
2015,San Bernardi,106361144,Breast,9,-117.687,34.02626,Chino Valley Medical Center
2015,San Bernardi,106361144,Colon,5,-117.687,34.02626,Chino Valley Medical Center
2015,San Bernardi,106361144,Rectum,1,-117.687,34.02626,Chino Valley Medical Center
2013,San Bernardi,106361144,Breast,1,-117.687,34.02626,Chino Valley Medical Center
2013,San Bernardi,106361144,Colon,2,-117.687,34.02626,Chino Valley Medical Center
2013,San Bernardi,106361144,Rectum,1,-117.687,34.02626,Chino Valley Medical Center
2017,San Bernardi,106361144,Stomach,2,-117.687,34.02626,Chino Valley Medical Center
2017,San Bernardi,106361144,Rectum,3,-117.687,34.02626,Chino Valley Medical Center
2017,San Bernardi,106361144,Colon,6,-117.687,34.02626,Chino Valley Medical Center
2017,San Bernardi,106361144,Breast,16,-117.687,34.02626,Chino Valley Medical Center
2021,San Bernardi,106361144,Breast,3,-117.687,34.02626,Chino Valley Medical Center
2021,San Bernardi,106361144,Colon,8,-117.687,34.02626,Chino Valley Medical Center
2021,San Bernardi,106361144,Rectum,2,-117.687,34.02626,Chino Valley Medical Center
2020,San Bernardi,106361166,Colon,2,-117.69603,34.07774,Montclair Hospital Medical Center
2020,San Bernardi,106361166,Liver,1,-117.69603,34.07774,Montclair Hospital Medical Center
2016,San Bernardi,106361166,Rectum,1,-117.69603,34.07774,Montclair Hospital Medical Center
2016,San Bernardi,106361166,Colon,2,-117.69603,34.07774,Montclair Hospital Medical Center
2016,San Bernardi,106361166,Breast,6,-117.69603,34.07774,Montclair Hospital Medical Center
2019,San Bernardi,106361166,Breast,2,-117.69603,34.07774,Montclair Hospital Medical Center
2019,San Bernardi,106361166,Colon,7,-117.69603,34.07774,Montclair Hospital Medical Center
2014,San Bernardi,106361166,Breast,13,-117.69603,34.07774,Montclair Hospital Medical Center
2014,San Bernardi,106361166,Colon,4,-117.69603,34.07774,Montclair Hospital Medical Center
2014,San Bernardi,106361166,Liver,1,-117.69603,34.07774,Montclair Hospital Medical Center
2019,San Bernardi,106361166,Rectum,3,-117.69603,34.07774,Montclair Hospital Medical Center
2018,San Bernardi,106361166,Colon,1,-117.69603,34.07774,Montclair Hospital Medical Center
2015,San Bernardi,106361166,Breast,7,-117.69603,34.07774,Montclair Hospital Medical Center
2015,San Bernardi,106361166,Colon,3,-117.69603,34.07774,Montclair Hospital Medical Center
2013,San Bernardi,106361166,Breast,13,-117.69603,34.07774,Montclair Hospital Medical Center
2013,San Bernardi,106361166,Colon,1,-117.69603,34.07774,Montclair Hospital Medical Center
2017,San Bernardi,106361166,Rectum,2,-117.69603,34.07774,Montclair Hospital Medical Center
2017,San Bernardi,106361166,Colon,1,-117.69603,34.07774,Montclair Hospital Medical Center
2017,San Bernardi,106361166,Breast,2,-117.69603,34.07774,Montclair Hospital Medical Center
2021,San Bernardi,106361166,Rectum,2,-117.69603,34.07774,Montclair Hospital Medical Center
2021,San Bernardi,106361166,Colon,1,-117.69603,34.07774,Montclair Hospital Medical Center
2020,San Bernardi,106361223,Brain,44,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2020,San Bernardi,106361223,Colon,65,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2020,San Bernardi,106361223,Lung,43,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2020,San Bernardi,106361223,Liver,1,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2020,San Bernardi,106361223,Rectum,29,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2020,San Bernardi,106361223,Esophagus,19,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2020,San Bernardi,106361223,Pancreas,4,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2020,San Bernardi,106361223,Breast,471,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2020,San Bernardi,106361223,Prostate,80,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2020,San Bernardi,106361223,Stomach,20,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2016,San Bernardi,106361223,Stomach,16,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2016,San Bernardi,106361223,Rectum,41,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2016,San Bernardi,106361223,Prostate,188,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2016,San Bernardi,106361223,Pancreas,3,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2016,San Bernardi,106361223,Lung,47,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2016,San Bernardi,106361223,Liver,4,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2016,San Bernardi,106361223,Esophagus,13,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2016,San Bernardi,106361223,Colon,90,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2016,San Bernardi,106361223,Breast,491,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2016,San Bernardi,106361223,Brain,37,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2016,San Bernardi,106361223,Bladder,13,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2020,San Bernardi,106361223,Bladder,14,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2019,San Bernardi,106361223,Lung,49,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2019,San Bernardi,106361223,Brain,47,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2019,San Bernardi,106361223,Liver,2,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2019,San Bernardi,106361223,Prostate,155,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2019,San Bernardi,106361223,Bladder,9,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2019,San Bernardi,106361223,Pancreas,4,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2019,San Bernardi,106361223,Breast,582,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2014,San Bernardi,106361223,Bladder,13,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2014,San Bernardi,106361223,Brain,40,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2014,San Bernardi,106361223,Breast,440,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2014,San Bernardi,106361223,Colon,92,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2014,San Bernardi,106361223,Esophagus,8,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2014,San Bernardi,106361223,Liver,2,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2014,San Bernardi,106361223,Pancreas,4,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2014,San Bernardi,106361223,Prostate,133,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2014,San Bernardi,106361223,Rectum,27,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2014,San Bernardi,106361223,Lung,44,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2014,San Bernardi,106361223,Stomach,7,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2021,San Bernardi,106361223,Liver,1,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2018,San Bernardi,106361223,Breast,491,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2018,San Bernardi,106361223,Esophagus,16,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2018,San Bernardi,106361223,Pancreas,7,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2018,San Bernardi,106361223,Bladder,19,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2018,San Bernardi,106361223,Prostate,195,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2018,San Bernardi,106361223,Stomach,16,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2018,San Bernardi,106361223,Rectum,30,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2018,San Bernardi,106361223,Colon,83,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2018,San Bernardi,106361223,Lung,54,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2018,San Bernardi,106361223,Brain,56,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2018,San Bernardi,106361223,Liver,3,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2019,San Bernardi,106361223,Esophagus,12,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2019,San Bernardi,106361223,Colon,90,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2015,San Bernardi,106361223,Bladder,11,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2015,San Bernardi,106361223,Brain,18,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2015,San Bernardi,106361223,Breast,324,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2015,San Bernardi,106361223,Colon,70,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2015,San Bernardi,106361223,Esophagus,3,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2015,San Bernardi,106361223,Lung,30,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2015,San Bernardi,106361223,Pancreas,2,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2015,San Bernardi,106361223,Rectum,24,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2015,San Bernardi,106361223,Stomach,6,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2015,San Bernardi,106361223,Prostate,134,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2013,San Bernardi,106361223,Bladder,8,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2013,San Bernardi,106361223,Brain,30,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2013,San Bernardi,106361223,Breast,414,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2013,San Bernardi,106361223,Esophagus,10,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2013,San Bernardi,106361223,Colon,105,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2013,San Bernardi,106361223,Liver,3,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2013,San Bernardi,106361223,Lung,51,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2013,San Bernardi,106361223,Prostate,26,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2013,San Bernardi,106361223,Pancreas,2,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2013,San Bernardi,106361223,Rectum,22,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2013,San Bernardi,106361223,Stomach,8,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2021,San Bernardi,106361223,Brain,43,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2019,San Bernardi,106361223,Rectum,36,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2019,San Bernardi,106361223,Stomach,12,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2017,San Bernardi,106361223,Stomach,8,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2017,San Bernardi,106361223,Rectum,50,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2017,San Bernardi,106361223,Prostate,174,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2017,San Bernardi,106361223,Pancreas,2,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2017,San Bernardi,106361223,Lung,44,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2017,San Bernardi,106361223,Liver,4,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2017,San Bernardi,106361223,Esophagus,12,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2017,San Bernardi,106361223,Colon,94,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2017,San Bernardi,106361223,Breast,506,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2017,San Bernardi,106361223,Brain,39,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2017,San Bernardi,106361223,Bladder,13,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2021,San Bernardi,106361223,Bladder,10,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2021,San Bernardi,106361223,Breast,525,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2021,San Bernardi,106361223,Colon,86,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2021,San Bernardi,106361223,Esophagus,7,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2021,San Bernardi,106361223,Pancreas,2,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2021,San Bernardi,106361223,Prostate,14,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2021,San Bernardi,106361223,Rectum,42,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2021,San Bernardi,106361223,Stomach,10,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2021,San Bernardi,106361223,Lung,43,-117.43549,34.0725,Kaiser Foundation Hospital – Fontana
2020,San Bernardi,106361246,Bladder,27,-117.26146,34.05164,Loma Linda University Medical Center
2020,San Bernardi,106361246,Breast,191,-117.26146,34.05164,Loma Linda University Medical Center
2020,San Bernardi,106361246,Colon,45,-117.26146,34.05164,Loma Linda University Medical Center
2020,San Bernardi,106361246,Esophagus,9,-117.26146,34.05164,Loma Linda University Medical Center
2020,San Bernardi,106361246,Lung,35,-117.26146,34.05164,Loma Linda University Medical Center
2020,San Bernardi,106361246,Stomach,10,-117.26146,34.05164,Loma Linda University Medical Center
2020,San Bernardi,106361246,Pancreas,18,-117.26146,34.05164,Loma Linda University Medical Center
2020,San Bernardi,106361246,Rectum,38,-117.26146,34.05164,Loma Linda University Medical Center
2016,San Bernardi,106361246,Stomach,7,-117.26146,34.05164,Loma Linda University Medical Center
2016,San Bernardi,106361246,Rectum,33,-117.26146,34.05164,Loma Linda University Medical Center
2016,San Bernardi,106361246,Prostate,105,-117.26146,34.05164,Loma Linda University Medical Center
2016,San Bernardi,106361246,Pancreas,23,-117.26146,34.05164,Loma Linda University Medical Center
2016,San Bernardi,106361246,Lung,33,-117.26146,34.05164,Loma Linda University Medical Center
2016,San Bernardi,106361246,Liver,43,-117.26146,34.05164,Loma Linda University Medical Center
2016,San Bernardi,106361246,Esophagus,9,-117.26146,34.05164,Loma Linda University Medical Center
2016,San Bernardi,106361246,Colon,44,-117.26146,34.05164,Loma Linda University Medical Center
2016,San Bernardi,106361246,Breast,152,-117.26146,34.05164,Loma Linda University Medical Center
2016,San Bernardi,106361246,Brain,52,-117.26146,34.05164,Loma Linda University Medical Center
2016,San Bernardi,106361246,Bladder,33,-117.26146,34.05164,Loma Linda University Medical Center
2020,San Bernardi,106361246,Liver,32,-117.26146,34.05164,Loma Linda University Medical Center
2020,San Bernardi,106361246,Brain,55,-117.26146,34.05164,Loma Linda University Medical Center
2020,San Bernardi,106361246,Prostate,64,-117.26146,34.05164,Loma Linda University Medical Center
2019,San Bernardi,106361246,Bladder,34,-117.26146,34.05164,Loma Linda University Medical Center
2019,San Bernardi,106361246,Esophagus,8,-117.26146,34.05164,Loma Linda University Medical Center
2019,San Bernardi,106361246,Pancreas,22,-117.26146,34.05164,Loma Linda University Medical Center
2019,San Bernardi,106361246,Breast,187,-117.26146,34.05164,Loma Linda University Medical Center
2019,San Bernardi,106361246,Prostate,102,-117.26146,34.05164,Loma Linda University Medical Center
2019,San Bernardi,106361246,Brain,77,-117.26146,34.05164,Loma Linda University Medical Center
2019,San Bernardi,106361246,Liver,35,-117.26146,34.05164,Loma Linda University Medical Center
2019,San Bernardi,106361246,Stomach,8,-117.26146,34.05164,Loma Linda University Medical Center
2019,San Bernardi,106361246,Colon,48,-117.26146,34.05164,Loma Linda University Medical Center
2014,San Bernardi,106361246,Bladder,24,-117.26146,34.05164,Loma Linda University Medical Center
2014,San Bernardi,106361246,Brain,30,-117.26146,34.05164,Loma Linda University Medical Center
2014,San Bernardi,106361246,Breast,143,-117.26146,34.05164,Loma Linda University Medical Center
2014,San Bernardi,106361246,Colon,41,-117.26146,34.05164,Loma Linda University Medical Center
2014,San Bernardi,106361246,Esophagus,5,-117.26146,34.05164,Loma Linda University Medical Center
2014,San Bernardi,106361246,Liver,14,-117.26146,34.05164,Loma Linda University Medical Center
2014,San Bernardi,106361246,Lung,28,-117.26146,34.05164,Loma Linda University Medical Center
2014,San Bernardi,106361246,Prostate,72,-117.26146,34.05164,Loma Linda University Medical Center
2014,San Bernardi,106361246,Rectum,24,-117.26146,34.05164,Loma Linda University Medical Center
2014,San Bernardi,106361246,Stomach,7,-117.26146,34.05164,Loma Linda University Medical Center
2014,San Bernardi,106361246,Pancreas,13,-117.26146,34.05164,Loma Linda University Medical Center
2018,San Bernardi,106361246,Brain,58,-117.26146,34.05164,Loma Linda University Medical Center
2018,San Bernardi,106361246,Bladder,30,-117.26146,34.05164,Loma Linda University Medical Center
2018,San Bernardi,106361246,Stomach,11,-117.26146,34.05164,Loma Linda University Medical Center
2018,San Bernardi,106361246,Colon,57,-117.26146,34.05164,Loma Linda University Medical Center
2018,San Bernardi,106361246,Liver,42,-117.26146,34.05164,Loma Linda University Medical Center
2018,San Bernardi,106361246,Breast,189,-117.26146,34.05164,Loma Linda University Medical Center
2018,San Bernardi,106361246,Lung,30,-117.26146,34.05164,Loma Linda University Medical Center
2018,San Bernardi,106361246,Esophagus,6,-117.26146,34.05164,Loma Linda University Medical Center
2018,San Bernardi,106361246,Pancreas,10,-117.26146,34.05164,Loma Linda University Medical Center
2018,San Bernardi,106361246,Rectum,30,-117.26146,34.05164,Loma Linda University Medical Center
2018,San Bernardi,106361246,Prostate,93,-117.26146,34.05164,Loma Linda University Medical Center
2013,San Bernardi,106361246,Rectum,14,-117.26146,34.05164,Loma Linda University Medical Center
2013,San Bernardi,106361246,Liver,27,-117.26146,34.05164,Loma Linda University Medical Center
2013,San Bernardi,106361246,Bladder,29,-117.26146,34.05164,Loma Linda University Medical Center
2015,San Bernardi,106361246,Rectum,12,-117.26146,34.05164,Loma Linda University Medical Center
2015,San Bernardi,106361246,Bladder,21,-117.26146,34.05164,Loma Linda University Medical Center
2015,San Bernardi,106361246,Brain,41,-117.26146,34.05164,Loma Linda University Medical Center
2013,San Bernardi,106361246,Brain,34,-117.26146,34.05164,Loma Linda University Medical Center
2015,San Bernardi,106361246,Breast,100,-117.26146,34.05164,Loma Linda University Medical Center
2015,San Bernardi,106361246,Colon,30,-117.26146,34.05164,Loma Linda University Medical Center
2015,San Bernardi,106361246,Esophagus,3,-117.26146,34.05164,Loma Linda University Medical Center
2015,San Bernardi,106361246,Lung,23,-117.26146,34.05164,Loma Linda University Medical Center
2013,San Bernardi,106361246,Breast,137,-117.26146,34.05164,Loma Linda University Medical Center
2015,San Bernardi,106361246,Pancreas,15,-117.26146,34.05164,Loma Linda University Medical Center
2015,San Bernardi,106361246,Prostate,63,-117.26146,34.05164,Loma Linda University Medical Center
2013,San Bernardi,106361246,Colon,42,-117.26146,34.05164,Loma Linda University Medical Center
2015,San Bernardi,106361246,Stomach,5,-117.26146,34.05164,Loma Linda University Medical Center
2015,San Bernardi,106361246,Liver,18,-117.26146,34.05164,Loma Linda University Medical Center
2013,San Bernardi,106361246,Esophagus,3,-117.26146,34.05164,Loma Linda University Medical Center
2013,San Bernardi,106361246,Lung,29,-117.26146,34.05164,Loma Linda University Medical Center
2013,San Bernardi,106361246,Pancreas,13,-117.26146,34.05164,Loma Linda University Medical Center
2013,San Bernardi,106361246,Prostate,88,-117.26146,34.05164,Loma Linda University Medical Center
2013,San Bernardi,106361246,Stomach,4,-117.26146,34.05164,Loma Linda University Medical Center
2019,San Bernardi,106361246,Lung,50,-117.26146,34.05164,Loma Linda University Medical Center
2017,San Bernardi,106361246,Stomach,10,-117.26146,34.05164,Loma Linda University Medical Center
2017,San Bernardi,106361246,Rectum,42,-117.26146,34.05164,Loma Linda University Medical Center
2017,San Bernardi,106361246,Prostate,119,-117.26146,34.05164,Loma Linda University Medical Center
2017,San Bernardi,106361246,Pancreas,19,-117.26146,34.05164,Loma Linda University Medical Center
2017,San Bernardi,106361246,Lung,31,-117.26146,34.05164,Loma Linda University Medical Center
2017,San Bernardi,106361246,Liver,42,-117.26146,34.05164,Loma Linda University Medical Center
2017,San Bernardi,106361246,Esophagus,6,-117.26146,34.05164,Loma Linda University Medical Center
2017,San Bernardi,106361246,Colon,51,-117.26146,34.05164,Loma Linda University Medical Center
2017,San Bernardi,106361246,Breast,187,-117.26146,34.05164,Loma Linda University Medical Center
2017,San Bernardi,106361246,Brain,70,-117.26146,34.05164,Loma Linda University Medical Center
2017,San Bernardi,106361246,Bladder,24,-117.26146,34.05164,Loma Linda University Medical Center
2021,San Bernardi,106361246,Bladder,22,-117.26146,34.05164,Loma Linda University Medical Center
2021,San Bernardi,106361246,Esophagus,7,-117.26146,34.05164,Loma Linda University Medical Center
2019,San Bernardi,106361246,Rectum,41,-117.26146,34.05164,Loma Linda University Medical Center
2021,San Bernardi,106361246,Brain,64,-117.26146,34.05164,Loma Linda University Medical Center
2021,San Bernardi,106361246,Breast,189,-117.26146,34.05164,Loma Linda University Medical Center
2021,San Bernardi,106361246,Colon,56,-117.26146,34.05164,Loma Linda University Medical Center
2021,San Bernardi,106361246,Liver,40,-117.26146,34.05164,Loma Linda University Medical Center
2021,San Bernardi,106361246,Lung,49,-117.26146,34.05164,Loma Linda University Medical Center
2021,San Bernardi,106361246,Pancreas,15,-117.26146,34.05164,Loma Linda University Medical Center
2021,San Bernardi,106361246,Prostate,59,-117.26146,34.05164,Loma Linda University Medical Center
2021,San Bernardi,106361246,Rectum,54,-117.26146,34.05164,Loma Linda University Medical Center
2021,San Bernardi,106361246,Stomach,16,-117.26146,34.05164,Loma Linda University Medical Center
2021,San Bernardi,106361308,Breast,111,-117.2044,34.03699,Redlands Community Hospital
2019,San Bernardi,106361308,Colon,38,-117.2044,34.03699,Redlands Community Hospital
2020,San Bernardi,106361308,Brain,14,-117.2044,34.03699,Redlands Community Hospital
2020,San Bernardi,106361308,Colon,24,-117.2044,34.03699,Redlands Community Hospital
2020,San Bernardi,106361308,Lung,2,-117.2044,34.03699,Redlands Community Hospital
2020,San Bernardi,106361308,Prostate,17,-117.2044,34.03699,Redlands Community Hospital
2020,San Bernardi,106361308,Rectum,11,-117.2044,34.03699,Redlands Community Hospital
2020,San Bernardi,106361308,Stomach,1,-117.2044,34.03699,Redlands Community Hospital
2020,San Bernardi,106361308,Pancreas,2,-117.2044,34.03699,Redlands Community Hospital
2019,San Bernardi,106361308,Liver,3,-117.2044,34.03699,Redlands Community Hospital
2016,San Bernardi,106361308,Stomach,2,-117.2044,34.03699,Redlands Community Hospital
2016,San Bernardi,106361308,Rectum,11,-117.2044,34.03699,Redlands Community Hospital
2016,San Bernardi,106361308,Prostate,12,-117.2044,34.03699,Redlands Community Hospital
2016,San Bernardi,106361308,Pancreas,1,-117.2044,34.03699,Redlands Community Hospital
2016,San Bernardi,106361308,Lung,5,-117.2044,34.03699,Redlands Community Hospital
2016,San Bernardi,106361308,Liver,3,-117.2044,34.03699,Redlands Community Hospital
2016,San Bernardi,106361308,Colon,30,-117.2044,34.03699,Redlands Community Hospital
2016,San Bernardi,106361308,Breast,91,-117.2044,34.03699,Redlands Community Hospital
2016,San Bernardi,106361308,Brain,4,-117.2044,34.03699,Redlands Community Hospital
2016,San Bernardi,106361308,Bladder,2,-117.2044,34.03699,Redlands Community Hospital
2021,San Bernardi,106361308,Prostate,15,-117.2044,34.03699,Redlands Community Hospital
2020,San Bernardi,106361308,Breast,110,-117.2044,34.03699,Redlands Community Hospital
2019,San Bernardi,106361308,Breast,117,-117.2044,34.03699,Redlands Community Hospital
2019,San Bernardi,106361308,Brain,17,-117.2044,34.03699,Redlands Community Hospital
2019,San Bernardi,106361308,Lung,1,-117.2044,34.03699,Redlands Community Hospital
2019,San Bernardi,106361308,Prostate,15,-117.2044,34.03699,Redlands Community Hospital
2019,San Bernardi,106361308,Pancreas,1,-117.2044,34.03699,Redlands Community Hospital
2019,San Bernardi,106361308,Rectum,13,-117.2044,34.03699,Redlands Community Hospital
2019,San Bernardi,106361308,Stomach,3,-117.2044,34.03699,Redlands Community Hospital
2014,San Bernardi,106361308,Bladder,9,-117.2044,34.03699,Redlands Community Hospital
2014,San Bernardi,106361308,Brain,5,-117.2044,34.03699,Redlands Community Hospital
2014,San Bernardi,106361308,Prostate,27,-117.2044,34.03699,Redlands Community Hospital
2014,San Bernardi,106361308,Breast,119,-117.2044,34.03699,Redlands Community Hospital
2014,San Bernardi,106361308,Colon,42,-117.2044,34.03699,Redlands Community Hospital
2014,San Bernardi,106361308,Lung,6,-117.2044,34.03699,Redlands Community Hospital
2014,San Bernardi,106361308,Rectum,5,-117.2044,34.03699,Redlands Community Hospital
2014,San Bernardi,106361308,Stomach,4,-117.2044,34.03699,Redlands Community Hospital
2018,San Bernardi,106361308,Liver,1,-117.2044,34.03699,Redlands Community Hospital
2018,San Bernardi,106361308,Bladder,1,-117.2044,34.03699,Redlands Community Hospital
2018,San Bernardi,106361308,Rectum,14,-117.2044,34.03699,Redlands Community Hospital
2018,San Bernardi,106361308,Lung,4,-117.2044,34.03699,Redlands Community Hospital
2018,San Bernardi,106361308,Brain,11,-117.2044,34.03699,Redlands Community Hospital
2018,San Bernardi,106361308,Colon,41,-117.2044,34.03699,Redlands Community Hospital
2018,San Bernardi,106361308,Prostate,18,-117.2044,34.03699,Redlands Community Hospital
2018,San Bernardi,106361308,Stomach,2,-117.2044,34.03699,Redlands Community Hospital
2018,San Bernardi,106361308,Breast,116,-117.2044,34.03699,Redlands Community Hospital
2013,San Bernardi,106361308,Bladder,5,-117.2044,34.03699,Redlands Community Hospital
2013,San Bernardi,106361308,Brain,2,-117.2044,34.03699,Redlands Community Hospital
2013,San Bernardi,106361308,Breast,102,-117.2044,34.03699,Redlands Community Hospital
2013,San Bernardi,106361308,Colon,45,-117.2044,34.03699,Redlands Community Hospital
2013,San Bernardi,106361308,Lung,10,-117.2044,34.03699,Redlands Community Hospital
2013,San Bernardi,106361308,Prostate,20,-117.2044,34.03699,Redlands Community Hospital
2013,San Bernardi,106361308,Rectum,14,-117.2044,34.03699,Redlands Community Hospital
